item_id,domain,mechanism,culture,culture_type,language,category,coordination_rate
Media_china_zh_007,Media,Culture,china,strong,zh,中国游戏,0.28
Media_china_zh_008,Media,Culture,china,strong,zh,中国动漫,0.26
Media_china_zh_009,Media,Culture,china,strong,zh,中国综艺节目,0.38
Media_china_zh_010,Media,Culture,china,strong,zh,中国短视频平台,0.3
Brands_us_en_001,Brands,Culture,us,strong,en,US Tech Brands,0.26
Brands_us_en_002,Brands,Culture,us,strong,en,US Car Brands,0.32
Brands_us_en_003,Brands,Culture,us,strong,en,US Fast Food Brands,0.36
Brands_us_en_004,Brands,Culture,us,strong,en,US Soda Brands,0.38
Brands_us_en_005,Brands,Culture,us,strong,en,US Clothing Brands,0.24
Brands_us_en_006,Brands,Culture,us,strong,en,US Coffee Brands,0.24
Brands_us_en_007,Brands,Culture,us,strong,en,US Phone Brands,0.32
Brands_us_en_008,Brands,Culture,us,strong,en,US Sports Brands,0.38
Brands_us_en_009,Brands,Culture,us,strong,en,US Retail Brands,0.3
Brands_us_en_010,Brands,Culture,us,strong,en,US Snack Brands,0.34
Brands_china_zh_001,Brands,Culture,china,strong,zh,中国科技品牌,0.48
Brands_china_zh_002,Brands,Culture,china,strong,zh,中国汽车品牌,0.42
Brands_china_zh_003,Brands,Culture,china,strong,zh,中国餐饮品牌,0.3
Brands_china_zh_004,Brands,Culture,china,strong,zh,中国饮料品牌,0.3
Brands_china_zh_005,Brands,Culture,china,strong,zh,中国服装品牌,0.32
Brands_china_zh_006,Brands,Culture,china,strong,zh,中国茶饮品牌,0.24
Brands_china_zh_007,Brands,Culture,china,strong,zh,中国手机品牌,0.26
Brands_china_zh_008,Brands,Culture,china,strong,zh,中国运动品牌,0.42
Brands_china_zh_009,Brands,Culture,china,strong,zh,中国电商平台,0.2
Brands_china_zh_010,Brands,Culture,china,strong,zh,中国食品品牌,0.24
Digital Platforms_us_en_001,Digital Platforms,Digital,us,strong,en,US Search Engines,0.4
Digital Platforms_us_en_002,Digital Platforms,Digital,us,strong,en,US Email Providers,0.26
Digital Platforms_us_en_003,Digital Platforms,Digital,us,strong,en,US Cloud Services,0.44
Digital Platforms_us_en_004,Digital Platforms,Digital,us,strong,en,US Payment Platforms,0.4
Digital Platforms_us_en_005,Digital Platforms,Digital,us,strong,en,US E-commerce Platforms,0.26
Digital Platforms_us_en_006,Digital Platforms,Digital,us,strong,en,US Ride-sharing Apps,0.44
Digital Platforms_us_en_007,Digital Platforms,Digital,us,strong,en,US Food Delivery,0.26
Digital Platforms_us_en_008,Digital Platforms,Digital,us,strong,en,US Messaging Apps,0.36
Digital Platforms_us_en_009,Digital Platforms,Digital,us,strong,en,US Productivity Tools,0.24
Digital Platforms_us_en_010,Digital Platforms,Digital,us,strong,en,US Dating Apps,0.22
Digital Platforms_china_zh_001,Digital Platforms,Digital,china,strong,zh,中国搜索引擎,0.24
Digital Platforms_china_zh_002,Digital Platforms,Digital,china,strong,zh,中国邮箱服务,0.24
Digital Platforms_china_zh_003,Digital Platforms,Digital,china,strong,zh,中国云服务,0.26
Digital Platforms_china_zh_004,Digital Platforms,Digital,china,strong,zh,中国支付平台,0.4
Digital Platforms_china_zh_005,Digital Platforms,Digital,china,strong,zh,中国电商平台,0.3
Digital Platforms_china_zh_006,Digital Platforms,Digital,china,strong,zh,中国出行平台,0.28
Digital Platforms_china_zh_007,Digital Platforms,Digital,china,strong,zh,中国外卖平台,0.3
Digital Platforms_china_zh_008,Digital Platforms,Digital,china,strong,zh,中国聊天工具,0.38
Digital Platforms_china_zh_009,Digital Platforms,Digital,china,strong,zh,中国办公工具,0.32
Digital Platforms_china_zh_010,Digital Platforms,Digital,china,strong,zh,中国社交平台,0.42
Internet Culture_us_en_001,Internet Culture,Digital,us,strong,en,US Meme Formats,0.44
Internet Culture_us_en_002,Internet Culture,Digital,us,strong,en,US Online Slang,0.26
Internet Culture_us_en_003,Internet Culture,Digital,us,strong,en,US Viral Challenges,0.32
Internet Culture_us_en_004,Internet Culture,Digital,us,strong,en,US Online Communities,0.2
Internet Culture_us_en_005,Internet Culture,Digital,us,strong,en,US Streaming Culture,0.24
Internet Culture_us_en_006,Internet Culture,Digital,us,strong,en,US Hashtag Trends,0.56
Internet Culture_us_en_007,Internet Culture,Digital,us,strong,en,US Online Gaming Terms,0.26
Internet Culture_us_en_008,Internet Culture,Digital,us,strong,en,US Tech Buzzwords,0.3
Internet Culture_us_en_009,Internet Culture,Digital,us,strong,en,US Emoji Usage,0.3
Internet Culture_us_en_010,Internet Culture,Digital,us,strong,en,US Online Habits,0.32
Internet Culture_china_zh_001,Internet Culture,Digital,china,strong,zh,中国网络梗,0.3
Internet Culture_china_zh_002,Internet Culture,Digital,china,strong,zh,中国网络用语,0.26
Internet Culture_china_zh_003,Internet Culture,Digital,china,strong,zh,中国网络挑战,0.5
Internet Culture_china_zh_004,Internet Culture,Digital,china,strong,zh,中国网络社区,0.3
Internet Culture_china_zh_005,Internet Culture,Digital,china,strong,zh,中国直播文化,0.18
Internet Culture_china_zh_006,Internet Culture,Digital,china,strong,zh,中国热搜话题,0.2
Internet Culture_china_zh_007,Internet Culture,Digital,china,strong,zh,中国游戏用语,0.24
Internet Culture_china_zh_008,Internet Culture,Digital,china,strong,zh,中国科技热词,0.24
Internet Culture_china_zh_009,Internet Culture,Digital,china,strong,zh,中国表情包,0.22
Internet Culture_china_zh_010,Internet Culture,Digital,china,strong,zh,中国网络习惯,0.34
